BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Jan-23;BB1291;101150;118;4322,3;39000;96;16004;140,15;214;20326,3;100;31/1/2023;47,881;48%;Baik
Jan-23;BB1306;0;0;0;164000;1;10897;164;1;10897;160;31/1/2023;40,153;25%;Baik
Jan-23;BB1311;0;0;0;197000;1;62357;197;1;62357;250;26/1/2023;48,683;19%;Baik
Jan-23;BB1317;0;0;0;41500;1;4489;41,5;1;4489;100;3/1/2023;11,264;11%;Baik
Jan-23;BB1321;0;0;0;33000;1;1768;33;1;1768;100;31/1/2023;30,975;31%;Baik
Jan-23;BB1328;0;0;0;197000;1;13582;197;1;13582;250;6/1/2023;11,5;5%;Baik
Jan-23;BB1339;0;0;0;197000;1;12437;197;1;12437;200;26/1/2023;54,39;27%;Baik
Jan-23;BB1343;0;0;0;131000;1;8933;131;1;8933;160;26/1/2023;19,926;12%;Baik
Jan-23;BB1347;0;0;0;105000;1;9578;105;1;9578;160;31/1/2023;42,739;27%;Baik
Jan-23;BB1351;13200;7;448,7;197000;1;17842;210,2;8;18290,7;200;6/1/2023;10,35;5%;Baik
Jan-23;BB1352;0;0;0;66000;1;4069;66;1;4069;100;31/1/2023;35,915;36%;Baik
Jan-23;BB1365;0;0;0;105000;1;38409;105;1;38409;160;5/1/2023;73,651;46%;Baik
Jan-23;BB1372;0;0;0;76600;2;4392;76,6;2;4392;100;10/1/2023;9,2;9%;Baik
Jan-23;BB1401;160300;56;6982,3;3500;1;918;163,8;57;7900,3;160;2/1/2023;14,272;9%;Baik
Jan-23;BB1402;1383900;724;120813,3;117800;11;16800;1501,7;735;137613,3;250;2/1/2023;30,131;12%;Baik
Jan-23;BB1403;132100;65;7576;12100;2;3018;;67;10594;160;2/1/2023;14,911;9%;Baik
Jan-23;BB1404;227400;82;11545,3;9900;2;1708;;84;13253,3;160;2/1/2023;20,086;13%;Baik
Jan-23;BB1416;0;0;0;66000;1;9970;;1;9970;100;15/1/2023;15,019;15%;Baik
Jan-23;BB1419;0;0;0;41500;1;4353;;1;4353;160;3/1/2023;5,396;3%;Baik
Jan-23;BB1421;0;0;0;53000;1;2120;;1;2120;160;31/1/2023;8,918;6%;Baik
Jan-23;BB1432;0;0;0;105000;1;29746;;1;29746;200;31/1/2023;29,804;15%;Baik
Jan-23;BB1455;0;0;0;105000;1;5288;;1;5288;160;31/1/2023;65,476;41%;Baik
Jan-23;BB1463;0;0;0;41500;1;2657;;1;2657;100;4/1/2023;5,08;5%;Baik
Jan-23;BB1498;0;0;0;119000;3;14407;;3;14407;200;1/1/2023;10,074;5%;Baik
Jan-23;BB163;265500;95;12085,8;75850;75;30838;;170;42923,8;200;14/1/2023;71,53;36%;Baik
Jan-23;BB164;107800;15;6289,9;110800;51;32713;;66;39002,9;200;15/1/2023;70,18;35%;Baik
Jan-23;BB169;0;0;0;175400;3;18623;;3;18623;100;31/1/2023;48,525;49%;Baik
Jan-23;BB177;146600;124;7347,4;44450;95;22575;;219;29922,4;160;5/1/2023;32,802;21%;Baik
Jan-23;BB179;142850;97;8695,6;36600;97;23638;;194;32333,6;160;5/1/2023;58,554;37%;Baik
Jan-23;BB196;246800;84;9028;194100;113;49402;;197;58430;200;14/1/2023;110,8;55%;Baik
Jan-23;BB204;99800;23;8593,1;133650;60;43133;;83;51726,1;160;14/1/2023;11,5;7%;Baik
Jan-23;BB212;300300;123;14129;169450;39;31061;;162;45190;100;28/1/2023;52,82;53%;Baik
Jan-23;BB215;355350;208;14730,6;81100;170;40967;;378;55697,6;160;28/1/2023;50,83;32%;Baik
Jan-23;BB216;318700;95;12766,2;171900;61;37068;;156;49834,2;100;28/1/2023;66,93;67%;Cukup
Jan-23;BB233;120800;32;4658,3;214000;43;59193;;75;63851,3;200;4/1/2023;103,371;52%;Baik
Jan-23;BB241;159200;28;6407,1;310200;61;56316;;89;62723,1;200;14/1/2023;36,34;18%;Baik
Jan-23;BB243;0;0;0;82500;1;3300;;1;3300;100;31/1/2023;48,632;49%;Baik
Jan-23;BB244;45400;18;1658,9;44000;12;9121;;30;10779,9;160;27/1/2023;23,467;15%;Baik
Jan-23;BB247;2600;2;64,2;195500;19;43037;;21;43101,2;200;15/1/2023;130,93;65%;Cukup
Jan-23;BB248;0;0;0;113500;16;26785;;16;26785;160;4/1/2023;49,107;31%;Baik
Jan-23;BB254;94200;60;3752,1;347500;76;37085;;136;40837,1;200;31/1/2023;28,866;14%;Baik
Jan-23;BB255;239550;221;10371,8;98350;152;36163;;373;46534,8;160;12/1/2023;81,532;51%;Baik
Jan-23;BB256;242000;220;12099,2;69600;148;32492;;368;44591,2;160;12/1/2023;77,728;49%;Baik
Jan-23;BB262;90150;42;4122,1;290100;43;61283;;85;65405,1;160;15/1/2023;78,402;49%;Baik
Jan-23;BB263;0;0;0;82500;1;3300;;1;3300;100;27/1/2023;28,423;28%;Baik
Jan-23;BB267;0;0;0;66000;1;4291;;1;4291;100;31/1/2023;32,15;32%;Baik
Jan-23;BB272;0;0;0;53000;1;2120;;1;2120;50;27/1/2023;23,701;47%;Baik
Jan-23;BB278;0;0;0;82500;1;3300;;1;3300;100;27/1/2023;19,477;19%;Baik
Jan-23;BB280;0;0;0;197000;1;7699;;1;7699;200;27/1/2023;34,97;17%;Baik
