BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Feb-23;BE019;0;0;0;197000;1;51565;197;1;51565;200;22/2/2023;73,33;37%;Baik
Feb-23;BE020;0;0;0;197000;1;26124;197;1;26124;250;22/2/2023;14,96;6%;Baik
Feb-23;BE022;0;0;0;197000;1;9800;197;1;9800;200;22/2/2023;86,718;43%;Baik
Feb-23;BE036;0;0;0;197000;1;7880;197;1;7880;200;23/2/2023;28,609;14%;Baik
Feb-23;BE047;0;0;0;66000;1;5718;66;1;5718;100;23/2/2023;27,547;28%;Baik
Feb-23;BE050;0;0;0;131000;1;5240;131;1;5240;160;23/2/2023;0,693;0%;Baik
Feb-23;BE061;0;0;0;197000;1;18891;197;1;18891;160;16/2/2023;45,77;29%;Baik
Feb-23;BE068;0;0;0;197000;1;32379;197;1;32379;200;16/2/2023;68,17;34%;Baik
Feb-23;BE071;0;0;0;197000;1;65503;197;1;65503;200;17/2/2023;56,915;28%;Baik
Feb-23;BE072;0;0;0;89000;2;4963;89;2;4963;160;16/2/2023;33,675;21%;Baik
Feb-23;BE073;0;0;0;147000;1;7278;147;1;7278;160;16/2/2023;53,357;33%;Baik
Feb-23;BE074;900;1;137;33000;3;5831;33,9;4;5968;160;16/2/2023;16,237;10%;Baik
Feb-23;BE075;0;0;0;131000;1;5240;131;1;5240;160;17/2/2023;36,473;23%;Baik
Feb-23;BE076;0;0;0;53000;1;3549;53;1;3549;50;17/2/2023;24,552;49%;Baik
Feb-23;BE077;0;0;0;105000;1;4495;105;1;4495;100;17/2/2023;32,611;33%;Baik
Feb-23;BE081;4400;2;260;105000;1;8208;109,4;3;8468;160;17/2/2023;33,37;21%;Baik
Feb-23;BE082;0;0;0;146500;2;9577;146,5;2;9577;160;17/2/2023;37,458;23%;Baik
Feb-23;BE083;0;0;0;197000;1;7880;197;1;7880;100;17/2/2023;36,7;37%;Baik
Feb-23;BE084;0;0;0;53000;1;3838;53;1;3838;100;17/2/2023;35,075;35%;Baik
Feb-23;BE085;0;0;0;41500;1;1660;41,5;1;1660;50;17/2/2023;29,782;60%;Baik
Feb-23;BE087;0;0;0;55600;3;9650;55,6;3;9650;100;17/2/2023;39,556;40%;Baik
Feb-23;BE100;0;0;0;41500;1;1022;41,5;1;1022;50;23/2/2023;9,201;18%;Baik
Feb-23;BE1008;0;0;0;105000;1;5659;105;1;5659;100;23/2/2023;29,098;29%;Baik
Feb-23;BE1013;1800;2;137;40400;10;6696;42,2;12;6833;50;14/2/2023;29,74;59%;Baik
Feb-23;BE1014;0;0;0;197000;1;44862;197;1;44862;250;24/2/2023;31,412;13%;Baik
Feb-23;BE1018;26400;7;1937;301650;30;51188;328,05;37;53125;160;9/2/2023;81,559;51%;Baik
Feb-23;BE1024;4400;2;606;50600;13;3926;55;15;4532;160;23/2/2023;30,668;19%;Baik
Feb-23;BE1025;80700;14;3970;100900;26;18299;181,6;40;22269;160;23/2/2023;58,703;37%;Baik
Feb-23;BE103;0;0;0;197000;1;23691;197;1;23691;200;23/2/2023;33,352;17%;Baik
Feb-23;BE1049;0;0;0;197000;1;31549;197;1;31549;200;9/2/2023;47,322;24%;Baik
Feb-23;BE1050;0;0;0;53000;1;2120;53;1;2120;160;24/2/2023;8,741;5%;Baik
Feb-23;BE1055;0;0;0;197000;1;64013;197;1;64013;250;24/2/2023;98,629;39%;Baik
Feb-23;BE107;0;0;0;66600;3;18315;66,6;3;18315;50;23/2/2023;22,764;46%;Baik
Feb-23;BE1071;79600;17;4617;35800;4;4806;115,4;21;9423;100;23/2/2023;30,845;31%;Baik
Feb-23;BE1072;0;0;0;105000;1;8583;105;1;8583;100;23/2/2023;19,784;20%;Baik
Feb-23;BE1074;0;0;0;53000;1;3758;53;1;3758;50;24/2/2023;15,009;30%;Baik
Feb-23;BE1079;38600;12;2158;95050;9;8902;133,65;21;11060;100;23/2/2023;17,901;18%;Baik
Feb-23;BE1080;0;0;0;53000;1;7794;53;1;7794;50;23/2/2023;5,288;11%;Baik
Feb-23;BE1091;283700;283;16600;92450;177;36332;376,15;460;52932;160;14/2/2023;75,977;47%;Baik
Feb-23;BE110;0;0;0;113000;6;13307;113;6;13307;100;23/2/2023;12,647;13%;Baik
Feb-23;BE1100;278200;227;14875;80800;131;26342;359;358;41217;160;15/2/2023;74,729;47%;Baik
Feb-23;BE1107;97900;16;5051;149400;27;44327;247,3;43;49378;160;14/2/2023;75,517;47%;Baik
Feb-23;BE1108;93100;18;7847;177400;40;30628;270,5;58;38475;160;14/2/2023;120,963;76%;Cukup
Feb-23;BE111;0;0;0;164000;1;14533;164;1;14533;200;23/2/2023;56,384;28%;Baik
Feb-23;BE1117;0;0;0;30700;2;4822;30,7;2;4822;50;22/2/2023;17,477;35%;Baik
Feb-23;BE112;0;0;0;105000;1;4739;105;1;4739;200;23/2/2023;34,533;17%;Baik
Feb-23;BE1126;0;0;0;131000;1;5240;131;1;5240;160;14/2/2023;19,546;12%;Baik
Feb-23;BE1128;0;0;0;197000;1;66399;197;1;66399;200;15/2/2023;62,097;31%;Baik
Feb-23;BE1131;239500;183;14740;172800;39;26313;412,3;222;41053;200;24/2/2023;63,584;32%;Baik
Feb-23;BE1159;96750;35;4686;198750;55;34073;295,5;90;38759;160;21/2/2023;42,563;27%;Baik
Feb-23;BE116;0;0;0;23000;1;920;23;1;920;50;23/2/2023;0,69;1%;Baik
Feb-23;BE1161;0;0;0;105000;1;4625;105;1;4625;100;24/2/2023;11,963;12%;Baik
Feb-23;BE117;9100;7;398;13200;1;528;22,3;8;926;50;23/2/2023;13,579;27%;Baik
Feb-23;BE1173;0;0;0;75400;6;8625;75,4;6;8625;100;24/2/2023;45,766;46%;Baik
Feb-23;BE1177;249650;303;18982;57100;183;32106;306,75;486;51088;160;21/2/2023;95,033;59%;Baik
Feb-23;BE118;0;0;0;53000;1;6853;53;1;6853;100;23/2/2023;20,237;20%;Baik
Feb-23;BE1180;268200;254;14646;186150;64;32299;454,35;318;46945;200;24/2/2023;71,331;36%;Baik
Feb-23;BE1193;18400;21;705;7500;84;10325;25,9;105;11030;100;24/2/2023;50,328;50%;Baik
Feb-23;BE1199;448400;61;6233;75900;16;7048;524,3;77;13281;200;14/2/2023;47,202;24%;Baik
Feb-23;BE1203;0;0;0;53000;1;2744;53;1;2744;100;24/2/2023;17,491;17%;Baik
Feb-23;BE1207;26600;22;1364;10100;3;1564;36,7;25;2928;160;23/2/2023;22,362;14%;Baik
Feb-23;BE121;359000;410;25836;99750;221;48711;458,75;631;74547;200;24/2/2023;123,192;62%;Cukup
Feb-23;BE1213;276700;269;12964;188900;197;45477;465,6;466;58441;160;14/2/2023;88,929;56%;Baik
Feb-23;BE1216;0;0;0;197000;1;18959;197;1;18959;200;23/2/2023;61,687;31%;Baik
Feb-23;BE1217;0;0;0;197000;1;23047;197;1;23047;100;23/2/2023;68,41;68%;Cukup
Feb-23;BE122;0;0;0;23000;1;920;23;1;920;50;23/2/2023;7,447;15%;Baik
Feb-23;BE1222;205000;66;12735;43100;10;9952;248,1;76;22687;200;24/2/2023;48,333;24%;Baik
Feb-23;BE1223;330200;84;18846;75700;35;21201;405,9;119;40047;100;24/2/2023;80,747;81%;Kurang
Feb-23;BE1228;75100;39;2703;108600;31;18102;183,7;70;20805;50;21/2/2023;25,096;50%;Baik
Feb-23;BE123;0;0;0;197000;1;41235;197;1;41235;200;23/2/2023;115,801;58%;Baik
Feb-23;BE124;0;0;0;197000;1;9780;197;1;9780;200;23/2/2023;109,044;55%;Baik
Feb-23;BE1248;0;0;0;197000;1;35899;197;1;35899;250;17/2/2023;33,781;14%;Baik
Feb-23;BE126;0;0;0;66000;1;2640;66;1;2640;100;23/2/2023;8,388;8%;Baik
Feb-23;BE1278;0;0;0;23000;1;5045;23;1;5045;50;23/2/2023;9,432;19%;Baik
Feb-23;BE1279;0;0;0;220000;2;18339;220;2;18339;200;23/2/2023;71,224;36%;Baik
Feb-23;BE1285;0;0;0;18300;2;1809;18,3;2;1809;50;15/2/2023;13,107;26%;Baik
Feb-23;BE1289;0;0;0;147000;1;10664;147;1;10664;160;15/2/2023;21,836;14%;Baik
Feb-23;BE129;0;0;0;53000;1;5501;53;1;5501;100;23/2/2023;18,845;19%;Baik
Feb-23;BE1294;0;0;0;197000;1;30543;197;1;30543;200;23/2/2023;28,971;14%;Baik
Feb-23;BE130;0;0;0;66000;1;12851;66;1;12851;100;23/2/2023;46,755;47%;Baik
Feb-23;BE131;0;0;0;66000;1;3704;66;1;3704;100;23/2/2023;26,832;27%;Baik
Feb-23;BE1317;0;0;0;82500;1;5469;82,5;1;5469;100;24/2/2023;15,874;16%;Baik
Feb-23;BE132;0;0;0;78200;3;4048;78,2;3;4048;200;23/2/2023;20,446;10%;Baik
Feb-23;BE134;0;0;0;197000;1;10037;197;1;10037;200;23/2/2023;61,074;31%;Baik
Feb-23;BE1345;0;0;0;197000;1;34723;197;1;34723;250;7/2/2023;55,531;22%;Baik
Feb-23;BE135;0;0;0;82500;1;7527;82,5;1;7527;200;23/2/2023;68,14;34%;Baik
Feb-23;BE1358;0;0;0;41500;2;10670;41,5;2;10670;160;24/2/2023;20,705;13%;Baik
Feb-23;BE1359;131500;26;5661;209100;20;42396;340,6;46;48057;250;23/2/2023;83,625;33%;Baik
Feb-23;BE136;0;0;0;105000;1;9398;105;1;9398;100;23/2/2023;63,054;63%;Cukup
Feb-23;BE1360;0;0;0;33000;1;6309;33;1;6309;50;9/2/2023;38,1;76%;Cukup
Feb-23;BE1363;222800;446;24208;181400;3;6964;404,2;449;31172;200;24/2/2023;66,758;33%;Baik
Feb-23;BE137;0;0;0;66000;1;5912;66;1;5912;100;23/2/2023;38,611;39%;Baik
Feb-23;BE138;0;0;0;41500;1;6242;41,5;1;6242;100;23/2/2023;28,193;28%;Baik
Feb-23;BE139;0;0;0;42800;2;5398;42,8;2;5398;100;21/2/2023;31,363;31%;Baik
Feb-23;BE1394;0;0;0;53000;1;2120;53;1;2120;100;17/2/2023;45,543;46%;Baik
Feb-23;BE1398;0;0;0;164000;1;49730;164;1;49730;200;24/2/2023;30,142;15%;Baik
Feb-23;BE140;0;0;0;53000;1;5996;53;1;5996;100;7/2/2023;36,78;37%;Baik
Feb-23;BE1401;0;0;0;105000;1;6091;105;1;6091;160;24/2/2023;17,258;11%;Baik
Feb-23;BE1404;0;0;0;105000;1;22828;105;1;22828;160;23/2/2023;59,709;37%;Baik
Feb-23;BE141;0;0;0;147000;1;22551;147;1;22551;100;23/2/2023;41,417;41%;Baik
Feb-23;BE142;0;0;0;105000;1;6914;105;1;6914;200;23/2/2023;54,831;27%;Baik
Feb-23;BE143;0;0;0;197000;1;9975;197;1;9975;200;23/2/2023;46,4;23%;Baik
Feb-23;BE144;0;0;0;197000;1;7880;197;1;7880;200;23/2/2023;54,755;27%;Baik
Feb-23;BE1449;0;0;0;147000;1;43437;147;1;43437;160;14/2/2023;66,12;41%;Baik
Feb-23;BE1454;3500;1;173;41500;1;5939;45;2;6112;100;21/2/2023;37,815;38%;Baik
Feb-23;BE146;0;0;0;151600;4;18698;151,6;4;18698;160;23/2/2023;43,271;27%;Baik
Feb-23;BE1463;149600;41;10570;51200;36;15193;200,8;77;25763;100;24/2/2023;47,277;47%;Baik
Feb-23;BE1464;69200;29;2949;23900;26;8970;93,1;55;11919;100;24/2/2023;31,266;31%;Baik
Feb-23;BE1469;20400;16;1199;107000;14;15664;127,4;30;16863;160;24/2/2023;44,248;28%;Baik
Feb-23;BE1472;0;0;0;197000;1;17058;197;1;17058;250;22/2/2023;86,031;34%;Baik
Feb-23;BE1475;347200;130;8462;151000;27;27135;498,2;157;35597;100;24/2/2023;74,376;74%;Cukup
Feb-23;BE150;0;0;0;105000;1;5022;105;1;5022;100;23/2/2023;18,729;19%;Baik
Feb-23;BE1506;0;0;0;105000;1;4200;105;1;4200;100;23/2/2023;5,616;6%;Baik
Feb-23;BE1523;34800;12;1589;222700;13;31776;257,5;25;33365;100;23/2/2023;30,589;31%;Baik
Feb-23;BE1527;0;0;0;73700;13;13718;73,7;13;13718;100;9/2/2023;59,218;59%;Baik
Feb-23;BE1531;108000;18;6836;184800;18;20437;292,8;36;27273;100;23/2/2023;70,033;70%;Cukup
Feb-23;BE1535;82600;73;3377;74100;38;8712;156,7;111;12089;100;14/2/2023;31,456;31%;Baik
Feb-23;BE1539;0;0;0;147000;1;54840;147;1;54840;100;14/2/2023;0,709;1%;Baik
Feb-23;BE1543;0;0;0;147000;1;22070;147;1;22070;160;15/2/2023;29,742;19%;Baik
Feb-23;BE1548;0;0;0;41500;1;4070;41,5;1;4070;100;23/2/2023;26,119;26%;Baik
Feb-23;BE1560;30800;7;3477;99000;11;12286;129,8;18;15763;100;9/2/2023;61,103;61%;Cukup
Feb-23;BE1566;6600;3;927;53000;1;4747;59,6;4;5674;100;22/2/2023;24,158;24%;Baik
Feb-23;BE1569;0;0;0;53000;1;5205;53;1;5205;100;23/2/2023;25,024;25%;Baik
Feb-23;BE157;0;0;0;197000;1;26671;197;1;26671;200;23/2/2023;86,23;43%;Baik
Feb-23;BE1573;0;0;0;197000;1;44930;197;1;44930;200;22/2/2023;49,907;25%;Baik
Feb-23;BE1580;0;0;0;361000;2;41312;361;2;41312;160;9/2/2023;30,86;19%;Baik
Feb-23;BE1610;0;0;0;82500;1;12841;82,5;1;12841;100;7/2/2023;30,533;31%;Baik
Feb-23;BE1621;0;0;0;105000;1;6436;105;1;6436;100;24/2/2023;17,011;17%;Baik
Feb-23;BE1622;0;0;0;105000;1;4200;105;1;4200;160;16/2/2023;53,902;34%;Baik
Feb-23;BE1630;0;0;0;197000;1;36377;197;1;36377;200;14/2/2023;38,659;19%;Baik
Feb-23;BE1641;0;0;0;131000;1;5240;131;1;5240;160;23/2/2023;11,962;7%;Baik
Feb-23;BE1645;0;0;0;82500;1;6503;82,5;1;6503;100;23/2/2023;18,407;18%;Baik
Feb-23;BE1650;0;0;0;197000;1;9896;197;1;9896;250;16/2/2023;60,641;24%;Baik
Feb-23;BE1652;0;0;0;41000;6;9232;41;6;9232;50;9/2/2023;58,321;117%;Buruk
Feb-23;BE1658;0;0;0;82500;1;10837;82,5;1;10837;100;7/2/2023;42,097;42%;Baik
Feb-23;BE1666;515950;570;29226;293350;188;54778;809,3;758;84004;200;15/2/2023;31,643;16%;Baik
Feb-23;BE1673;122000;34;7207;96400;22;16528;218,4;56;23735;100;14/2/2023;45,307;45%;Baik
Feb-23;BE1675;124000;122;6329;56600;76;16555;180,6;198;22884;160;23/2/2023;65,809;41%;Baik
Feb-23;BE1712;0;0;0;53000;1;7809;53;1;7809;100;23/2/2023;46,6;47%;Baik
Feb-23;BE1713;0;0;0;53000;1;4414;53;1;4414;50;23/2/2023;14,072;28%;Baik
Feb-23;BE1720;0;0;0;82500;1;4495;82,5;1;4495;100;23/2/2023;11,65;12%;Baik
Feb-23;BE1723;0;0;0;105000;1;23906;105;1;23906;160;9/2/2023;37,341;23%;Baik
Feb-23;BE1724;0;0;0;131000;1;6979;131;1;6979;160;14/2/2023;39,318;25%;Baik
Feb-23;BE1734;0;0;0;53000;1;4143;53;1;4143;100;24/2/2023;16,398;16%;Baik
Feb-23;BE1740;0;0;0;41500;1;7487;41,5;1;7487;100;24/2/2023;19,313;19%;Baik
Feb-23;BE1744;0;0;0;41500;1;1904;41,5;1;1904;160;14/2/2023;9,482;6%;Baik
Feb-23;BE1749;0;0;0;105000;1;4200;105;1;4200;160;24/2/2023;16,109;10%;Baik
Feb-23;BE1777;0;0;0;66000;1;8594;66;1;8594;100;14/2/2023;17,709;18%;Baik
Feb-23;BE1783;12800;4;1117;14300;5;1741;27,1;9;2858;100;24/2/2023;30,976;31%;Baik
Feb-23;BE1796;215300;66;4685;69750;19;12209;285,05;85;16894;100;15/2/2023;65,145;65%;Cukup
Feb-23;BE180;0;0;0;131000;1;6736;131;1;6736;160;15/2/2023;20,916;13%;Baik
Feb-23;BE1801;0;0;0;197000;1;52058;197;1;52058;250;24/2/2023;73,555;29%;Baik
Feb-23;BE1810;68300;34;3361;337800;30;70981;406,1;64;74342;160;24/2/2023;57,654;36%;Baik
Feb-23;BE1812;77900;24;2434;27500;3;3340;105,4;27;5774;100;24/2/2023;77,079;77%;Cukup
Feb-23;BE1834;0;0;0;53000;1;3776;53;1;3776;100;24/2/2023;29,532;30%;Baik
Feb-23;BE1847;900;1;14;82500;1;3300;83,4;2;3314;100;14/2/2023;4,002;4%;Baik
Feb-23;BE1853;0;0;0;105000;1;4763;105;1;4763;160;24/2/2023;20,107;13%;Baik
Feb-23;BE1854;0;0;0;82500;1;7458;82,5;1;7458;100;14/2/2023;20,681;21%;Baik
Feb-23;BE188;0;0;0;105000;1;4159;105;1;4159;200;15/2/2023;33,36;17%;Baik
Feb-23;BE1882;0;0;0;53000;1;10107;53;1;10107;100;24/2/2023;29,375;29%;Baik
Feb-23;BE1889;0;0;0;197000;1;35809;197;1;35809;250;14/2/2023;36,118;14%;Baik
Feb-23;BE1906;67000;14;2733;175800;38;19019;242,8;52;21752;160;21/2/2023;60,183;38%;Baik
Feb-23;BE1909;0;0;0;82500;1;4784;82,5;1;4784;100;15/2/2023;36,473;36%;Baik
Feb-23;BE1920;0;0;0;105000;1;23572;105;1;23572;160;24/2/2023;31,59;20%;Baik
Feb-23;BE1941;0;0;0;66000;1;11490;66;1;11490;100;24/2/2023;18,632;19%;Baik
Feb-23;BE224;0;0;0;131000;1;14275;131;1;14275;250;23/2/2023;65,286;26%;Baik
Feb-23;BE231;0;0;0;197000;1;15214;197;1;15214;200;22/2/2023;84,648;42%;Baik
Feb-23;BE245;0;0;0;82500;1;3300;82,5;1;3300;100;24/2/2023;24,606;25%;Baik
Feb-23;BE275;253600;57;17852;257800;35;38717;511,4;92;56569;250;24/2/2023;121,392;49%;Baik
Feb-23;BE350;0;0;0;41500;1;1660;41,5;1;1660;50;24/2/2023;9,892;20%;Baik
Feb-23;BE354;0;0;0;82500;1;3300;82,5;1;3300;100;14/2/2023;37,589;38%;Baik
Feb-23;BE359;0;0;0;66000;1;12386;66;1;12386;100;9/2/2023;43,314;43%;Baik
Feb-23;BE364;0;0;0;66000;1;2860;66;1;2860;160;22/2/2023;27,362;17%;Baik
Feb-23;BE366;5200;5;193;7000;5;1257;12,2;10;1450;160;15/2/2023;54,44;34%;Baik
Feb-23;BE419;26700;11;1412;46300;18;9803;73;29;11215;100;23/2/2023;39,326;39%;Baik
Feb-23;BE451;17900;16;505;4900;6;769;22,8;22;1274;160;24/2/2023;93,104;58%;Baik
Feb-23;BE453;5500;1;866;49500;2;5413;55;3;6279;100;23/2/2023;9,337;9%;Baik
Feb-23;BE460;0;0;0;164000;1;10094;164;1;10094;250;21/2/2023;46,163;18%;Baik
Feb-23;BE478;0;0;0;197000;1;31712;197;1;31712;160;16/2/2023;59,22;37%;Baik
Feb-23;BE502;0;0;0;82500;1;20891;82,5;1;20891;100;24/2/2023;14,04;14%;Baik
Feb-23;BE509;0;0;0;131000;1;7702;131;1;7702;160;23/2/2023;43,804;27%;Baik
Feb-23;BE561;0;0;0;131000;1;11417;131;1;11417;160;24/2/2023;38,07;24%;Baik
Feb-23;BE571;0;0;0;147000;1;14763;147;1;14763;160;24/2/2023;22,328;14%;Baik
Feb-23;BE573;8800;2;382;197000;1;36004;205,8;3;36386;200;24/2/2023;14,944;7%;Baik
Feb-23;BE581;20800;18;1506;16500;1;660;37,3;19;2166;50;24/2/2023;6,207;12%;Baik
Feb-23;BE604;231900;123;11614;96300;169;57047;328,2;292;68661;200;22/2/2023;122,208;61%;Cukup
Feb-23;BE620;0;0;0;33000;1;1320;33;1;1320;100;24/2/2023;5,743;6%;Baik
Feb-23;BE625;347100;372;23511;146550;267;66698;493,65;639;90209;160;22/2/2023;119,633;75%;Cukup
Feb-23;BE626;268200;340;18647;42550;196;38493;310,75;536;57140;160;22/2/2023;66,683;42%;Baik
Feb-23;BE627;361850;623;29637;132850;345;67545;494,7;968;97182;200;22/2/2023;102,348;51%;Baik
Feb-23;BE628;217600;198;14388;145150;171;44801;362,75;369;59189;250;21/2/2023;91,084;36%;Baik
Feb-23;BE629;278450;202;12749;100850;234;48731;379,3;436;61480;200;21/2/2023;132,968;66%;Cukup
Feb-23;BE646;0;0;0;41500;1;1660;41,5;1;1660;160;16/2/2023;40,418;25%;Baik
Feb-23;BE652;217000;66;11488;228550;108;63572;445,55;174;75060;250;15/2/2023;59,206;24%;Baik
Feb-23;BE653;227450;109;8898;113500;62;28746;340,95;171;37644;160;15/2/2023;81,441;51%;Baik
Feb-23;BE671;0;0;0;155000;4;26883;155;4;26883;200;7/2/2023;30,528;15%;Baik
Feb-23;BE673;0;0;0;197000;1;36223;197;1;36223;160;7/2/2023;38,056;24%;Baik
Feb-23;BE674;0;0;0;66000;1;3829;66;1;3829;100;7/2/2023;37,885;38%;Baik
Feb-23;BE676;26300;24;1173;124850;16;14471;151,15;40;15644;160;7/2/2023;32,343;20%;Baik
Feb-23;BE693;794000;738;31748;85800;369;76171;879,8;1107;107919;250;15/2/2023;94,792;38%;Baik
Feb-23;BE737;400650;467;22360;137000;268;63717;537,65;735;86077;160;14/2/2023;77,848;49%;Baik
Feb-23;BE739;418800;251;17564;127750;209;56439;546,55;460;74003;250;14/2/2023;101,237;40%;Baik
Feb-23;BE740;0;0;0;206900;25;50710;206,9;25;50710;200;9/2/2023;94,444;47%;Baik
Feb-23;BE741;107800;23;5572;302900;51;56498;410,7;74;62070;200;14/2/2023;88,849;44%;Baik
Feb-23;BE742;125100;23;6049;448300;66;78058;573,4;89;84107;250;14/2/2023;60,408;24%;Baik
Feb-23;BE743;108400;14;4286;569520;62;114838;677,92;76;119124;250;14/2/2023;71,446;29%;Baik
Feb-23;BE744;0;0;0;53000;1;9446;53;1;9446;100;16/2/2023;31,134;31%;Baik
Feb-23;BE745;0;0;0;98700;12;11432;98,7;12;11432;100;16/2/2023;82,244;82%;Kurang
Feb-23;BE746;67800;11;6678;164500;39;48559;232,3;50;55237;160;16/2/2023;60,414;38%;Baik
Feb-23;BE747;115300;25;6132;200600;52;40655;315,9;77;46787;200;14/2/2023;84,22;42%;Baik
Feb-23;BE748;63100;17;6683;206000;73;65854;269,1;90;72537;200;14/2/2023;81,442;41%;Baik
Feb-23;BE749;129300;30;7928;167200;44;33942;296,5;74;41870;200;14/2/2023;78,659;39%;Baik
Feb-23;BE752;0;0;0;53000;1;2120;53;1;2120;160;9/2/2023;36,422;23%;Baik
Feb-23;BE753;0;0;0;105000;1;12931;105;1;12931;100;9/2/2023;33,915;34%;Baik
Feb-23;BE755;55200;30;2093;46250;56;27468;101,45;86;29561;160;15/2/2023;58,842;37%;Baik
Feb-23;BE759;197150;163;7162;90950;165;32870;288,1;328;40032;200;16/2/2023;84,341;42%;Baik
Feb-23;BE760;306600;353;17018;99950;259;56032;406,55;612;73050;200;16/2/2023;91,074;46%;Baik
Feb-23;BE771;4400;1;173;116200;5;10456;120,6;6;10629;160;24/2/2023;77,644;49%;Baik
Feb-23;BE778;0;0;0;164000;1;6560;164;1;6560;250;24/2/2023;0,69;0%;Baik
Feb-23;BE779;0;0;0;131000;1;5240;131;1;5240;160;24/2/2023;13,802;9%;Baik
Feb-23;BE780;0;0;0;41500;1;1660;41,5;1;1660;100;24/2/2023;14,257;14%;Baik
Feb-23;BE781;198300;185;12410;14550;99;20737;212,85;284;33147;100;24/2/2023;75,895;76%;Cukup
Feb-23;BE782;0;0;0;188500;2;26414;188,5;2;26414;200;24/2/2023;75,264;38%;Baik
Feb-23;BE785;506350;459;27597;141900;162;47945;648,25;621;75542;160;14/2/2023;84,683;53%;Baik
Feb-23;BE837;0;0;0;105000;6;15373;105;6;15373;160;24/2/2023;37,157;23%;Baik
Feb-23;BE838;4400;1;87;438500;26;72529;442,9;27;72616;200;24/2/2023;141,804;71%;Cukup
Feb-23;BE840;0;0;0;82500;1;3854;82,5;1;3854;100;23/2/2023;32,628;33%;Baik
Feb-23;BE841;0;0;0;82500;1;3427;82,5;1;3427;100;23/2/2023;41,707;42%;Baik
Feb-23;BE851;38500;3;1492;196700;17;12597;235,2;20;14089;100;14/2/2023;88,13;88%;Kurang
Feb-23;BE852;592800;397;25678;156900;172;50839;749,7;569;76517;250;24/2/2023;164,275;66%;Cukup
Feb-23;BE853;0;0;0;66000;1;5597;66;1;5597;100;23/2/2023;8,658;9%;Baik
Feb-23;BE854;215600;46;11947;182000;69;49590;397,6;115;61537;250;24/2/2023;137,988;55%;Baik
Feb-23;BE855;296300;86;15712;344100;102;70764;640,4;188;86476;250;24/2/2023;160,789;64%;Cukup
Feb-23;BE857;0;0;0;105000;1;13268;105;1;13268;100;24/2/2023;20,468;20%;Baik
Feb-23;BE870;400900;279;20624;315750;127;50804;716,65;406;71428;250;24/2/2023;76,773;31%;Baik
Feb-23;BE871;459200;301;26738;115700;89;37855;574,9;390;64593;160;24/2/2023;86,271;54%;Baik
Feb-23;BE872;212300;100;11445;227100;40;30545;439,4;140;41990;160;24/2/2023;82,162;51%;Baik
Feb-23;BE874;490300;258;25258;124700;48;32963;615;306;58221;160;24/2/2023;75,474;47%;Baik
Feb-23;BE875;643100;529;36218;330800;98;59281;973,9;627;95499;250;24/2/2023;104,301;42%;Baik
Feb-23;BE876;288700;136;16543;337200;35;37490;625,9;171;54033;160;23/2/2023;91,704;57%;Baik
Feb-23;BE877;332900;85;18120;277200;23;29618;610,1;108;47738;200;23/2/2023;78,875;39%;Baik
Feb-23;BE878;0;0;0;164000;1;19386;164;1;19386;160;14/2/2023;56,608;35%;Baik
Feb-23;BE906;151200;33;1306;225500;35;29501;376,7;68;30807;200;7/2/2023;61,535;31%;Baik
Feb-23;BE915;0;0;0;197000;1;27664;197;1;27664;250;23/2/2023;92,441;37%;Baik
Feb-23;BE916;0;0;0;197000;1;22537;197;1;22537;200;23/2/2023;60,753;30%;Baik
Feb-23;BE919;0;0;0;41500;1;1840;41,5;1;1840;50;17/2/2023;37,455;75%;Cukup
Feb-23;BE921;0;0;0;41500;1;3280;41,5;1;3280;100;23/2/2023;41,015;41%;Baik
Feb-23;BE923;0;0;0;66000;1;2640;66;1;2640;100;23/2/2023;13,136;13%;Baik
Feb-23;BE930;88700;17;7813;95000;21;19639;183,7;38;27452;100;14/2/2023;60,933;61%;Cukup
Feb-23;BE953;0;0;0;105000;1;10695;105;1;10695;100;22/2/2023;22,76;23%;Baik
Feb-23;BE963;0;0;0;33000;1;1320;33;1;1320;160;17/2/2023;27,414;17%;Baik
Feb-23;BE972;0;0;0;105000;1;6214;105;1;6214;100;24/2/2023;10,817;11%;Baik
Feb-23;BE988;0;0;0;164000;1;6560;164;1;6560;160;24/2/2023;41,628;26%;Baik
Feb-23;BE990;0;0;0;53000;1;2310;53;1;2310;100;23/2/2023;13,794;14%;Baik
Feb-23;BH007;0;0;0;131000;1;10544;131;1;10544;160;28/2/2023;27,411;17%;Baik
Feb-23;BH008;0;0;0;131000;1;22976;131;1;22976;160;28/2/2023;11,55;7%;Baik
Feb-23;BH023;232000;156;9693;349450;140;62525;581,45;296;72218;250;6/2/2023;132,455;53%;Baik
Feb-23;BH024;1141600;1116;80327;130950;243;51751;1272,55;1359;132078;160;21/2/2023;125,553;78%;Cukup
Feb-23;BH055;304700;302;14928;36850;171;30311;341,55;473;45239;160;20/2/2023;97,072;61%;Cukup
Feb-23;BH080;4500;5;170;206200;6;23990;210,7;11;24160;250;28/2/2023;7,612;3%;Baik
